Method,Coverage,Favorable rate,SWD,WD,Runtime (s)
DCE,0.89,0.89,0.04213621976664298,0.06819776778357585,
GLOBE-CE,1.0,1.0,0.0742806972927238,0.19154446341156156,0.8811833999989176
