Dataset,Method,Affected count_mean,Affected count_std,Successful recourse_mean,Successful recourse_std,Coverage_mean,Coverage_std,Favorable rate_mean,Favorable rate_std,SWD_mean,SWD_std,WD_mean,WD_std,Runtime (s)_mean,Runtime (s)_std,Mean value_mean,Mean value_std,Std value_mean,Std value_std,LSC MSE_mean,LSC MSE_std,FSD violations_mean,FSD violations_std,Changed count_mean,Changed count_std,Invalid changed count_mean,Invalid changed count_std,Valid changed rate_mean,Valid changed rate_std,Out-of-range count_mean,Out-of-range count_std,Non-integer count_mean,Non-integer count_std
Cardio,DiCE,47.0,0.0,47.0,0.0,1.0,0.0,1.0,0.0,0.26761501823444467,0.09302668740336296,0.10454483926296232,0.009233463781524502,5.343676440000491,0.013059669686689581,74.08585470496095,1.4423643276540954,9.626022960878093,1.1780876681866275,0.6609724239906263,0.07277198184990781,4.4,7.797435475847171,47.0,0.0,46.2,0.8366600265340753,0.01702127659574464,0.017801277160299438,0.0,0.0,46.2,0.8366600265340753
HELOC,DiCE,52.0,0.0,52.0,0.0,1.0,0.0,1.0,0.0,0.5893856786465619,0.10471237699852826,0.051545212417840915,0.0031014623798972466,9.263366460000544,0.2199133633672277,97.02867829033991,3.3104385538019603,9.666985845700236,0.18782784705236819,1.6451788439075585,0.4640998248461047,27.8,20.921281031523858,52.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0
Market,DiCE,90.0,0.0,90.0,0.0,1.0,0.0,1.0,0.0,0.7765079117828527,0.1722330398581895,0.27544445395469663,0.02147127077261787,17.07781627999975,0.25416239080253067,53.468649751037184,0.7217589901373489,151457.69417511826,13396.587492180486,1.580551766766596,0.2549287840038439,0.4,0.8944271909999159,90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0
