lambda,fsd_holds,violations_num,point_ratio,interval_ratio,fact_duration_mean,cf_duration_mean,x_space_swd,y_space_wd
0.5,False,18,0.85,0.9684133950668516,-0.14186245699864822,-0.2951913,0.029936311164492864,0.034059806466237526
1.0,False,17,0.8583333333333333,0.9627475028016074,-0.14186245699864822,-0.3944863,0.0392719687493024,0.03597827352810236
5.0,False,13,0.8916666666666667,0.9649468596784816,-0.14186245699864822,-0.7544424,0.07223018859954188,0.03627325806089636
10.0,False,12,0.9,0.9653628773435534,-0.14186245699864822,-0.916533,0.07820471928235673,0.037409355773698576
50.0,False,9,0.925,0.9971763345169499,-0.14186245699864822,-1.1676179,0.0717441131585098,0.038464816595211074
100.0,False,9,0.925,0.9989244631684581,-0.14186245699864822,-1.2150364,0.06325431209168518,0.03788066221787239
